,Unnamed: 0,prop_name,completion_year,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate,count
3949,3949,Bougainvilla,2007.0,1498,house,Kuala Lumpur,Segambut,Condominium,3,1.0,2.0,1049.0,1.0,10.0,13.0
3950,3950,325 Persiaran Ritchie,,12000,house,Kuala Lumpur,Ampang Hilir,Condominium,6,2.0,5.0,4300.0,2.0,11.0,2.0
3951,3951,Riana Green East,2012.0,2800,house,Kuala Lumpur,Wangsa Maju,Condominium,4,2.0,3.0,1909.0,2.0,10.0,6.0
3952,3952,Residensi Pandanmas 2,,1798,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,900.0,1.0,8.0,43.0
3953,3953,Perumahan Penjawat Awam 1 Malaysia (PPA1M) Bukit Jalil,2018.0,1300,house,Kuala Lumpur,Bukit Jalil,Apartment,4,1.0,2.0,1400.0,0.0,6.0,20.0
3954,3954,[Specialist] Ampang KLCC Keramat Ukay,,1000,house,Kuala Lumpur,Ampang,Condominium,3,2.0,2.0,1000.0,2.0,14.0,3.0
3955,3955,Desa Tun Razak,,1000,house,Kuala Lumpur,Cheras,Apartment,2,,1.0,650.0,2.0,2.0,19.0
3956,3956,Service Suites @ Pavilion Embassy,,3800,house,Kuala Lumpur,Keramat,Service Residence,2,,2.0,1098.0,2.0,10.0,25.0
3957,3957,Ritchie's Pavilion,,1800,room,Kuala Lumpur,Ampang Hilir,Condominium,1,,1.0,404.0,2.0,5.0,2.0
3958,3958,Bougainvilla,2007.0,1500,house,Kuala Lumpur,Segambut,Condominium,3,,2.0,1049.0,2.0,9.0,13.0
3959,3959,Rampai Court,,1100,house,Kuala Lumpur,Wangsa Maju,Apartment,2,,1.0,700.0,1.0,5.0,34.0
3960,3960,,,12000,house,Kuala Lumpur,Ampang Hilir,Condominium,6,,6.0,6067.0,2.0,12.0,
3961,3961,,,8000,house,Kuala Lumpur,Ampang Hilir,Condominium,6,,6.0,5000.0,1.0,11.0,
3962,3962,Tivoli Villas,1993.0,1700,room,Kuala Lumpur,Bangsar,Condominium,1,,1.0,678.0,1.0,10.0,10.0
3963,3963,Serini Melawati,2018.0,2000,house,Kuala Lumpur,Taman Melawati,Service Residence,2,2.0,2.0,663.0,2.0,6.0,22.0
3964,3964,Sentul Point Suite Apartment,2020.0,1600,house,Kuala Lumpur,Sentul,Apartment,2,1.0,2.0,750.0,2.0,13.0,56.0
3965,3965,Bandar Baru Sentul Flat,,1000,house,Kuala Lumpur,Sentul,Flat,2,1.0,1.0,600.0,1.0,3.0,5.0
3966,3966,Nusa Mewah Villa Condominium,2014.0,950,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,865.0,1.0,6.0,9.0
3967,3967,Taman Indah Murni,,1000,house,Kuala Lumpur,Segambut,Flat,3,,1.0,700.0,1.0,,2.0
3968,3968,M Centura,2021.0,1900,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,850.0,2.0,9.0,140.0
3969,3969,Residensi Suria Pantai,2020.0,1550,house,Kuala Lumpur,Pantai,Apartment,3,,2.0,810.0,2.0,6.0,56.0
3970,3970,South View,2017.0,2400,house,Kuala Lumpur,Bangsar South,Service Residence,2,,1.0,720.0,2.0,7.0,18.0
