,prop_name,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate
138,Bayu Tasik 2,1500,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1000,2,9.0
139,Platinum Oug Residence,1650,house,Kuala Lumpur,Bukit Jalil,Condominium,3,1.0,2.0,1200,2,10.0
140,M Centura,2500,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,850,1,7.0
141,Casa Idaman,1500,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,2.0,2.0,1062,1,
142,Flat Taman Bukit Angkasa,1200,house,Kuala Lumpur,Bangsar South,Flat,3,,2.0,700,1,1.0
143,Platinum Lake PV 21,1500,house,Kuala Lumpur,Setapak,Service Residence,3,,2.0,1040,1,6.0
144,Platinum Lake PV 20,1500,house,Kuala Lumpur,Setapak,Condominium,4,2.0,2.0,1333,1,
145,M Vertica,1800,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,850,1,10.0
146,Impian Kota,1500,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,1100,1,1.0
147,Desa Dua Aman Puri,850,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,850,0,7.0
148,The Andes Condo Villa @ Bukit Jalil,3700,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1325,2,
149,Kepong Sentral Condominium,999,house,Kuala Lumpur,Kepong,Condominium,3,1.0,2.0,962,0,10.0
150,Nuri Court,1500,house,Kuala Lumpur,Pandan Indah,Apartment,3,,2.0,900,2,2.0
151,The Hipster @ Taman Desa,2100,house,Kuala Lumpur,Taman Desa,Condominium,3,2.0,2.0,925,2,11.0
152,Mont Kiara Astana,4500,house,Kuala Lumpur,Mont Kiara,Condominium,4,,3.0,1690,2,10.0
153,Sentrio Suites,1550,room,Kuala Lumpur,Desa Pandan,Service Residence,1,1.0,1.0,570,2,6.0
154,Majestic Maxim,2300,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,1050,2,8.0
155,Tiara Mutiara 2,1500,house,Kuala Lumpur,Old Klang Road,Service Residence,3,,2.0,900,1,6.0
156,PV9 Residences @ Taman Melati,2499,house,Kuala Lumpur,Setapak,Service Residence,4,3.0,2.0,1100,1,7.0
157,Bukit Pandan 2,1450,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1150,2,12.0
158,Angkasa Impian 1,4000,house,Kuala Lumpur,Bukit Bintang,Condominium,4,,4.0,2200,2,8.0
159,Majestic Maxim,1100,house,Kuala Lumpur,Cheras,Service Residence,2,,2.0,650,1,8.0
160,Majestic Maxim,1750,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819,1,11.0
161,EkoCheras Service Apartment,1800,room,Kuala Lumpur,Cheras,Service Residence,1,1.0,2.0,762,1,10.0
162,Apartment Sentul,1700,house,Kuala Lumpur,Sentul,Apartment,2,1.0,2.0,743,2,14.0
163,Camellia,2200,room,Kuala Lumpur,Bangsar South,Condominium,1,1.0,1.0,638,2,5.0
164,Bayu @ Pandan Jaya,1700,house,Kuala Lumpur,Pandan Jaya,Condominium,3,1.0,2.0,1072,1,7.0
165,Casa Green (Bukit Jalil),2000,house,Kuala Lumpur,Bukit Jalil,Condominium,4,1.0,2.0,900,2,7.0
166,10 Semantan,1948,house,Kuala Lumpur,Damansara Heights,Service Residence,2,1.0,2.0,990,2,9.0
167,Impiana Sky Residensi,1300,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,850,1,5.0
168,M Vertica,2200,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,850,2,12.0
169,Damai Hillpark,1600,house,Kuala Lumpur,Bandar Damai Perdana,Service Residence,3,2.0,2.0,1020,1,7.0
170,Vista Langkawi @ PV18,1300,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,926,0,
171,Platinum Lake PV 13,2400,house,Kuala Lumpur,Setapak,Condominium,3,2.0,2.0,1313,1,9.0
172,Majestic Maxim,1400,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,850,0,
173,,2500,house,Kuala Lumpur,Segambut,Condominium,3,2.0,3.0,1537,2,11.0
174,1 Razak Mansion,1200,house,Kuala Lumpur,Sungai Besi,Condominium,3,,2.0,800,0,5.0
175,Putra Villa,1800,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1066,2,6.0
176,Vina Versatile Homes,1400,room,Kuala Lumpur,Cheras,Studio,1,1.0,1.0,450,2,10.0
177,M Vertica,1800,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,850,1,9.0
178,PV9 Residences @ Taman Melati,550,house,Kuala Lumpur,Setapak,Service Residence,4,,3.0,1300,1,11.0
179,Residensi Jalilmas,1000,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,800,1,5.0
180,Sri Putramas,1500,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100,1,10.0
181,Sri Putramas,1600,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100,2,10.0
182,Pangsapuri Melur (Sentul),1400,house,Kuala Lumpur,Sentul,Apartment,3,1.0,2.0,650,1,8.0
183,Platinum OUG Residence,1800,house,Kuala Lumpur,Kuchai Lama,Condominium,3,1.0,2.0,1200,2,4.0
184,Majestic Maxim,1100,house,Kuala Lumpur,Cheras,Service Residence,2,,2.0,650,0,8.0
185,Majestic Maxim,1488,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,819,1,8.0
186,vista wirajaya 2,1500,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,850,0,
187,Danau Kota Suite Apartments,2200,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,829,2,8.0
188,Anjung Hijau,1400,house,Kuala Lumpur,Bukit Jalil,Condominium,2,1.0,2.0,980,2,7.0
189,Sri Putramas,1500,house,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,2.0,1100,2,10.0
190,Residensi Pandanmas 1,1600,house,Kuala Lumpur,Desa Pandan,Apartment,3,,2.0,900,2,9.0
191,Awana Puri Condominiums,1500,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1185,1,
192,Sri Pelangi (Jalan Genting Kelang),1200,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,931,1,10.0
193,Taman Miharja Apartment (LRT Miharja),1500,house,Kuala Lumpur,Cheras,Apartment,3,1.0,2.0,950,1,1.0
194,,1400,room,Kuala Lumpur,Old Klang Road,Condominium,1,1.0,2.0,775,2,9.0
195,Endah Ria,1600,house,Kuala Lumpur,Sri Petaling,Condominium,4,,2.0,1421,1,5.0
196,Putra Villa,1800,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1076,2,7.0
197,Kenari Apartment (Taman Melati),1600,house,Kuala Lumpur,Setapak,Apartment,3,,2.0,900,2,6.0
198,Mutiara Magna,1000,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,750,0,2.0
199,Kenari Apartment (Taman Melati),1600,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,900,2,3.0
200,The Holmes,1600,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,1018,1,
201,Suasana Lumayan,1600,house,Kuala Lumpur,Cheras,Condominium,4,1.0,2.0,1142,1,5.0
202,"The Park 2, Pavilion Bukit Jalil",3200,house,Kuala Lumpur,Bukit Jalil,Service Residence,2,1.0,2.0,750,2,7.0
203,Seksyen 1 Wangsa Maju Flat,900,house,Kuala Lumpur,Wangsa Maju,Flat,2,,1.0,600,1,
204,Platinum Hill PV 6,1600,house,Kuala Lumpur,Setapak,Condominium,4,1.0,2.0,1328,0,
205,M3 Residency,1700,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,900,2,
206,Platinum Lake PV 13,1800,house,Kuala Lumpur,Setapak,Condominium,4,,2.0,1313,0,9.0
207,Putra Villa,1800,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,1067,2,
208,TR Residence,2500,house,Kuala Lumpur,Titiwangsa,Service Residence,3,1.0,2.0,850,2,7.0
209,Majestic Maxim,1300,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650,1,8.0
210,Genting Court Condominium,1100,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,820,1,8.0
211,Prima Court,900,house,Kuala Lumpur,Ampang,Condominium,3,1.0,2.0,890,1,11.0
212,Aliran Damai Apartments,1200,house,Kuala Lumpur,Cheras,Apartment,3,1.0,2.0,1006,1,
213,Royal Regent (Sri Putramas 3),2000,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1018,2,12.0
214,Vue Residences,1700,house,Kuala Lumpur,Titiwangsa,Service Residence,2,1.0,1.0,726,1,10.0
215,Tasikmas,1300,house,Kuala Lumpur,Bandar Tasik Selatan,Apartment,3,1.0,2.0,850,2,3.0
216,Flat Taman Bukit Angkasa,1200,house,Kuala Lumpur,Bangsar South,Flat,3,,1.0,750,0,
217,Seksyen 2 Wangsa Maju Flat Block D,1200,house,Kuala Lumpur,Wangsa Maju,Flat,2,,1.0,520,0,
