appid,name,release_date,english,developer,publisher,platforms_windows,platform_mac,platform_linux,required_age,categories,genres,achievements,positive_ratings,negative_ratings,average_playtime,owners,price
924960,Conjure Strike,9/28/2018,1,The Strike Team,The Strike Team,1,0,0,universal,Multi-player,Action,0,1,2,0,0-20000,11.39
805320,Conjuror's Eye,3/14/2018,1,"Escality, LLC","Escality, LLC",1,0,0,universal,Single-player,Casual,13,23,0,0,0-20000,0.79
903680,conNEcT01,7/27/2018,1,kjkjkAIStudio,kjkjkAIStudio,1,0,0,universal,Single-player,Violent,8,1,1,0,0-20000,0.79
779240,Conquer,2/21/2018,1,Wan Studio,Wan Studio,1,0,0,universal,Single-player,Action,0,12,11,0,0-20000,7.19
589110,Constricted VR,7/10/2018,1,PNxDesigns,PNxDesigns,1,0,0,universal,Single-player,Indie,0,9,6,0,0-20000,0.79
941800,Construct PRO,11/19/2018,1,EnterUserNamePlease,EnterUserNamePlease,1,0,0,universal,Single-player,Simulation,9,7,2,0,0-20000,5.79
920500,Construction Charlie,9/9/2018,1,RiftBreak Software,RiftBreak Software,1,0,0,universal,Single-player,Action,0,2,1,0,0-20000,0
787740,Construction Simulator 2 US - Pocket Edition,9/12/2018,1,weltenbauer. Software Entwicklung GmbH,astragon Entertainment,1,0,0,universal,Single-player,Simulation,76,137,90,0,0-20000,9.29
900020,Construction Truck Simulator,8/24/2018,1,Foxie Ventures,App Business Ventures LLC,1,0,0,universal,Single-player,Casual,0,1,3,0,0-20000,11.39
877390,Contact Draw: Bowling,7/4/2018,1,Star Legion,Star Legion,1,0,0,universal,Single-player,Adventure,161,13,0,0,0-20000,0.79
860220,Contact Draw: Football,6/12/2018,1,Star Legion,Star Legion,1,0,0,universal,Single-player,Adventure,129,13,1,0,0-20000,0.79
676840,Contagion VR: Outbreak,6/29/2018,1,"Monochrome, Inc","Monochrome, Inc",1,0,0,universal,Single-player,Action,13,262,109,0,0-20000,15.49
771010,Containment,2/9/2018,1,Finite Reflection Studios,Finite Reflection Studios,1,1,1,universal,Single-player,Casual,14,34,4,0,0-20000,1.69
783250,CONTAINMENT,4/24/2018,1,Planet X Game Studios,Planet X Game Studios,1,1,1,universal,Single-player,Casual,25,1,0,0,0-20000,3.99
